id,english_title,japanese_title,brightness
1,The Great Wave off Kanagawa,神奈川沖浪裏,0.61
2,"Fine Wind, Clear Morning",凱風快晴,0.44
3,Thunderstorm Beneath the Summit,山下白雨,0.34
4,Under Mannen Bridge at Fukagawa,深川万年橋下,0.66
5,"Sundai, Edo",東都駿台,0.64
6,The Cushion Pine at Aoyama,青山円座松,0.55
7,Senju in Musashi Province,武州千住,0.63
8,Tama River in Musashi Province,武州玉川,0.69
9,Inume Pass in Kai Province,甲州犬目峠,0.71
10,Fujimigahara Field in Owari Province,尾州不二見原,0.68
11,Asakusa Hongan Temple in Edo,東都浅草本願寺,0.63
12,Tsukuda Island in Edo,武陽佃島,0.61
13,Shichirigahama in Sagami Province,相州七里浜,0.66
14,Umezawa in Sagami Province,相州梅沢左,0.65
15,Kajikazawa in Kai Province,甲州石班沢,0.69
16,Mishima Pass in Kai Province,甲州三嶌越,0.67
17,Lake Suwa in Shinano Province,信州諏訪湖,0.62
18,Ejiri in Suruga Province,駿州江尻,0.67
19,In the Mountains of Totomi Province,遠江山中,0.67
20,Ushibori in Hitachi Province,常州牛堀,0.69
21,A Sketch of the Mitsui Shop in Suruga,江都駿河町三井見世略図,0.71
22,Sunset Across Ryogoku Bridge from Ommayagashi,御厩川岸より両国橋夕陽見,0.69
23,Sazaido at Gohyakurakan Temple,五百らかん寺さざゐどう,0.65
24,Morning After a Snowfall at Koishikawa,礫川雪の旦,0.59
25,Shimomeguro,下目黒,0.7
26,Watermill at Onden,隠田の水車,0.62
27,Enoshima in Sagami Province,相州江の島,0.65
28,Sketch of Tago Bay,東海道江尻田子の浦略図,0.65
29,Yoshida Along the Tokaido,東海道吉田,0.67
30,Kazusa Province Sea Route,上総の海路,0.71
31,Nihonbashi in Edo,江戸日本橋,0.6
32,Sekiya Village on the Sumida River,隅田川関屋の里,0.59
33,Noboto Bay,登戸浦,0.69
34,Hakone Lake in Sagami Province,相州箱根湖水,0.69
35,Reflection from Misaka Pass in Kai Province,甲州三坂水面,0.75
36,Hodogaya Along the Tokaido,東海道保土ケ谷,0.67
